2026-05-25 09:22:07,041 INFO     observability history scheduler thread started
2026-05-25 09:22:07,267 INFO     observability history scheduler loop started
2026-05-25 09:22:08,047 INFO     Starting server at tcp:port=8000:interface=0.0.0.0
2026-05-25 09:22:08,048 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-05-25 09:22:08,049 INFO     Configuring endpoint tcp:port=8000:interface=0.0.0.0
2026-05-25 09:22:08,050 INFO     Listening on TCP address 0.0.0.0:8000
Unauthorized: /api/aiops/admin/providers/presets/
2026-05-25 09:22:29,959 WARNING  Unauthorized: /api/aiops/admin/providers/presets/
Unauthorized: /api/aiops/admin/providers/presets/
2026-05-25 09:22:46,321 WARNING  Unauthorized: /api/aiops/admin/providers/presets/
2026-05-25 09:59:59,327 INFO     observability history scheduler refreshed today snapshot: {'day': '2026-05-25', 'captured': 6, 'actor': 'system-scheduler', 'force_refresh': True}
2026-05-25 10:00:00,365 INFO     observability history scheduler refreshed today snapshot: {'day': '2026-05-25', 'captured': 6, 'actor': 'system-scheduler', 'force_refresh': True}
2026-05-25 10:59:59,415 INFO     observability history scheduler refreshed today snapshot: {'day': '2026-05-25', 'captured': 6, 'actor': 'system-scheduler', 'force_refresh': True}
2026-05-25 11:00:00,455 INFO     observability history scheduler refreshed today snapshot: {'day': '2026-05-25', 'captured': 6, 'actor': 'system-scheduler', 'force_refresh': True}
2026-05-25 11:59:59,530 INFO     observability history scheduler refreshed today snapshot: {'day': '2026-05-25', 'captured': 6, 'actor': 'system-scheduler', 'force_refresh': True}
2026-05-25 12:00:00,570 INFO     observability history scheduler refreshed today snapshot: {'day': '2026-05-25', 'captured': 6, 'actor': 'system-scheduler', 'force_refresh': True}
2026-05-25 12:59:59,625 INFO     observability history scheduler refreshed today snapshot: {'day': '2026-05-25', 'captured': 6, 'actor': 'system-scheduler', 'force_refresh': True}
2026-05-25 13:00:00,668 INFO     observability history scheduler refreshed today snapshot: {'day': '2026-05-25', 'captured': 6, 'actor': 'system-scheduler', 'force_refresh': True}
2026-05-25 13:59:59,738 INFO     observability history scheduler refreshed today snapshot: {'day': '2026-05-25', 'captured': 6, 'actor': 'system-scheduler', 'force_refresh': True}
2026-05-25 14:00:00,796 INFO     observability history scheduler refreshed today snapshot: {'day': '2026-05-25', 'captured': 6, 'actor': 'system-scheduler', 'force_refresh': True}
2026-05-25 14:59:59,855 INFO     observability history scheduler refreshed today snapshot: {'day': '2026-05-25', 'captured': 6, 'actor': 'system-scheduler', 'force_refresh': True}
2026-05-25 15:00:00,907 INFO     observability history scheduler refreshed today snapshot: {'day': '2026-05-25', 'captured': 6, 'actor': 'system-scheduler', 'force_refresh': True}
